timepoint,eeg_feature,geneset,pvalue,es,ranks,nfeatures,q₀,qₜ,qᵧ
6m,peak_latency_P1_corrected,Glutamate synthesis,0.0,-0.28006724833438057,"[1440, 7880, 8574, 14885, 26446, 34367, 37678, 40255, 52046, 58423, 92152, 92920, 95162, 97910, 134341, 145185, 145286, 166713, 197764, 210196, 212581, 215243, 231381, 231872, 257824, 259667, 260873, 327756, 337248, 369423, 377756, 416595, 417344, 420518, 428070, 428167, 441136, 470221, 477120, 478611, 486638, 486936, 501870, 501906, 503997, 509592, 539209, 545466, 547831, 566048, 577972, 607916]",641532,0.0,0.0,0.0
12m,peak_amp_N2_corrected,Menaquinone synthesis,0.0,0.2651693712831232,"[8965, 30690, 53245, 58829, 74503, 97046, 101072, 101338, 112081, 119852, 121851, 122380, 125154, 126800, 126966, 142942, 145577, 146440, 150825, 159196, 170966, 171402, 174589, 185168, 203138, 204076, 216721, 218758, 223874, 238955, 251327, 262292, 271598, 272930, 278754, 283866, 284805, 287831, 291662, 292100, 294672, 304617, 305436, 306422, 312036, 314345, 315673, 330404, 331395, 333661, 351376, 364417, 375661, 377146, 400492, 401495, 409390, 412708, 429307, 432671, 434126, 476581, 487846, 523933, 554273, 571293, 605412, 609663, 629648, 630220, 631528, 634621, 636241, 637566, 657556, 658219, 659334, 661305, 691466, 709727, 719264, 726500]",733856,0.0,0.0,0.0
12m,peak_latency_N2_corrected,Tryptophan synthesis,0.0002,-0.18397460543864064,"[9576, 14508, 15800, 17405, 25234, 27150, 27292, 27314, 33505, 35016, 38317, 47810, 70237, 79665, 108200, 115551, 116629, 117691, 120344, 134966, 143251, 143606, 159373, 167434, 168364, 168994, 170655, 171654, 179036, 179651, 183803, 183851, 192834, 201143, 206653, 208884, 217423, 217571, 217916, 218406, 219120, 219585, 261363, 261382, 269046, 294169, 296932, 298211, 307977, 332122, 343829, 345475, 352543, 355132, 361785, 362497, 391775, 403760, 404199, 405173, 410344, 411645, 414995, 415364, 415393, 420884, 427870, 428115, 455903, 459201, 465274, 466856, 472870, 479664, 481064, 485799, 489582, 499970, 505617, 509204, 512834, 535695, 543099, 564075, 569993, 572721, 582131, 582499, 608873, 616344, 621781, 639277, 640147, 654611, 661957, 662917, 663261, 673073, 673613, 711628, 718127, 722502]",733858,0.0165,0.0076,0.0036000000000000003
12m,peak_amp_P1_corrected,Menaquinone synthesis,0.0002,-0.23590789693457906,"[3100, 13245, 22385, 24816, 50550, 64662, 66221, 66781, 69654, 74825, 94978, 102392, 104919, 112380, 118179, 126366, 129638, 130612, 131739, 131868, 135976, 137957, 144675, 145053, 154053, 157183, 157692, 166420, 166803, 169959, 178009, 179798, 180444, 203261, 218417, 232270, 253009, 256244, 264378, 273836, 286070, 298695, 299750, 300537, 304720, 305011, 322293, 342363, 345080, 369118, 422687, 456430, 466572, 469327, 470976, 481215, 499366, 509551, 517405, 517441, 529361, 547978, 550512, 557519, 560163, 577522, 582675, 609268, 611636, 627669, 634918, 654109, 660095, 660697, 670066, 679283, 684568, 689388, 697888, 699816, 712076, 731645]",733857,0.0165,0.0076,0.0018000000000000002
6m,peak_amp_P1_corrected,Tryptophan synthesis,0.0004,-0.18716254802315757,"[124, 2473, 4343, 5584, 8326, 10163, 13364, 16342, 18269, 26995, 39923, 40069, 47064, 47556, 52564, 61089, 61985, 75766, 84758, 99316, 99581, 100089, 120746, 122928, 127475, 136946, 154236, 154804, 156946, 157455, 158831, 165310, 165558, 184455, 187708, 190330, 205785, 205857, 232480, 234322, 240047, 242261, 244053, 244324, 244326, 247559, 247578, 255145, 260474, 260735, 260767, 260799, 262844, 267522, 270289, 270319, 270980, 274822, 277465, 280726, 289811, 291354, 294268, 299301, 303562, 308222, 330546, 335939, 338535, 343383, 349756, 382589, 388080, 392614, 409122, 433036, 447225, 447761, 459510, 461191, 463406, 485051, 489482, 493637, 497286, 500921, 504361, 505079, 509140, 514448, 516268, 516989, 525753, 525755, 547464, 559680, 561826, 573023, 576607, 600251, 601596, 606748, 611208, 616308, 617720, 618632]",641532,0.0264,0.0228,0.0036000000000000003
6m,peak_latency_P1_corrected,DOPAC synthesis,0.0008,-0.6338661782471455,"[16617, 95890, 111609, 212081, 337833, 428312, 495956]",641532,0.044000000000000004,0.0304,0.009600000000000001
6m,peak_latency_N1,Tryptophan synthesis,0.0012,0.16346458354083582,"[2095, 2362, 5524, 7548, 8641, 17434, 19208, 21620, 26042, 29362, 32112, 37667, 45949, 54506, 55415, 58186, 58983, 62270, 62407, 63734, 72327, 73254, 73359, 74093, 75114, 75958, 76134, 78499, 81738, 85889, 93768, 95283, 111840, 113537, 114707, 114823, 115029, 115340, 132982, 142081, 147707, 155944, 158493, 161943, 164346, 168469, 187550, 201631, 205076, 207681, 215588, 223450, 223671, 223984, 224451, 241465, 260483, 270980, 275998, 283480, 306838, 310714, 314918, 315178, 318083, 328033, 329009, 330426, 330714, 331054, 342034, 343457, 359774, 362604, 394728, 421242, 422246, 434384, 436464, 444158, 467222, 468329, 470026, 470033, 478503, 478877, 484410, 487113, 524577, 537880, 538670, 540125, 552911, 552971, 553035, 561953, 561969, 586716, 586930, 587457, 588017, 622978, 623155, 623579, 623688, 631161]",641532,0.05657142857142857,0.034199999999999994,0.0072
12m,peak_latency_P1_corrected,Acetate synthesis,0.0018,-0.18790021727056772,"[893, 12693, 16552, 19251, 26702, 26707, 36825, 37203, 44463, 45533, 59427, 60662, 69040, 69692, 71245, 95315, 96108, 99720, 103220, 125084, 148662, 154134, 158793, 168651, 209448, 222497, 225221, 226006, 226134, 226729, 229036, 229376, 263253, 265505, 273525, 278641, 279316, 280559, 286959, 298150, 304445, 308791, 310217, 323550, 323652, 328346, 330823, 331806, 335318, 339911, 344875, 347760, 348255, 353899, 354697, 358088, 363013, 378129, 381708, 388567, 389512, 393618, 403334, 489392, 510087, 519457, 531813, 556686, 558963, 561904, 566112, 567313, 580966, 590602, 595862, 611906, 657779, 658499, 693715, 694719, 700192, 702745, 732158]",733858,0.06599999999999999,0.0399,0.0162
12m,peak_amp_P1_corrected,Acetate synthesis,0.0018,-0.196790115048391,"[2337, 6641, 22956, 23667, 30388, 31265, 31563, 42791, 53525, 64308, 65282, 67483, 68980, 72606, 72617, 73187, 91446, 96938, 98658, 98692, 99487, 113521, 115448, 117532, 126424, 132034, 138082, 140146, 142746, 145483, 154465, 156153, 157958, 158853, 160885, 188626, 189017, 189340, 197484, 200246, 213696, 215460, 220153, 223939, 225009, 258241, 262801, 281493, 322255, 323111, 326767, 335906, 345613, 367628, 371381, 384298, 404620, 419205, 473118, 477925, 479280, 483701, 497569, 498338, 518622, 544904, 549667, 551428, 558616, 565626, 568217, 577739, 579304, 606502, 607133, 607915, 631630, 635429, 655896, 670535, 678439, 687995, 704516]",733857,0.06599999999999999,0.0399,0.0162
3m,peak_latency_P1_corrected,GABA synthesis,0.0032,0.43718331871705873,"[29180, 29879, 30286, 74556, 75149, 91685, 92885, 127165, 230024, 289530, 387381, 442612, 482645]",572522,0.07294736842105262,0.3264,0.057600000000000005
