timepoint,eeg_feature,geneset,pvalue,es,ranks,nfeatures,q₀,qₜ,qᵧ
3m_future6m,peak_latency_N1,Tryptophan synthesis,0.0004,-0.22113034593483039,"[1596, 2693, 3715, 15054, 20332, 20477, 33220, 33982, 34047, 34116, 34703, 44165, 57597, 62203, 65523, 68485, 73343, 73742, 74951, 75109, 76406, 76476, 76808, 78991, 80575, 81370, 82629, 86879, 88500, 103555, 107673, 107783, 123209, 126529, 135948, 143377, 172182, 173211, 178555, 188717, 203839, 205361, 208238, 213582, 223506, 223553, 239772, 240323, 245865, 250947, 259411, 263112, 289252, 307388, 312834, 316827, 327908, 337285, 352801, 364910, 374294, 375250, 377428, 377929, 383797, 411170, 415995, 417878, 429545, 436212, 441665, 451966, 453393, 480565, 492080, 516469, 517406, 519963, 527972]",531124,0.040799999999999996,0.040799999999999996,0.0024000000000000002
3m_future6m,peak_latency_N1,Glutamate synthesis,0.002,-0.2829156582545851,"[28691, 36388, 52055, 52150, 59588, 67991, 73605, 77921, 89483, 90180, 119761, 155777, 160082, 170670, 172807, 189832, 191815, 204408, 212284, 219528, 231103, 238826, 246004, 283603, 283608, 292831, 342022, 349527, 369070, 374284, 443805, 453580, 453834, 454298, 471359, 518080]",531124,0.040799999999999996,0.040799999999999996,0.012
3m_future6m,peak_latency_N1,Acetate synthesis,0.0012,-0.21908394269596526,"[266, 1704, 2564, 4609, 8992, 12452, 13627, 19143, 19942, 20055, 20506, 22726, 27307, 33811, 35799, 35816, 39077, 51369, 57906, 58886, 61395, 68446, 89497, 93605, 108730, 111499, 119786, 127449, 148833, 154273, 167001, 178570, 181191, 194686, 194860, 201519, 205790, 208749, 213623, 214538, 217308, 245856, 251419, 258771, 260546, 271648, 276226, 278947, 286771, 295166, 299092, 309252, 333240, 346569, 367145, 370918, 384887, 415490, 419627, 420897, 422849, 436982, 458612, 458757, 459236, 461520, 493494, 505801, 530686]",531124,0.040799999999999996,0.040799999999999996,0.0048000000000000004
3m_future6m,peak_latency_N2_corrected,Acetate synthesis,0.0016,0.21574257640553895,"[1549, 1769, 2162, 3099, 10769, 12570, 13659, 15419, 19112, 21622, 24524, 64624, 92856, 99957, 112172, 128503, 135816, 144238, 158552, 169434, 172652, 192253, 194153, 198029, 199871, 201071, 212032, 215575, 219175, 220874, 221353, 223619, 227054, 227848, 239754, 241507, 253840, 266281, 268671, 273515, 275938, 302883, 303908, 306170, 307993, 315945, 326914, 330739, 336978, 337057, 356648, 369407, 395634, 398308, 414663, 414673, 446474, 450207, 461212, 464764, 473712, 474663, 474879, 474939, 479709, 481089, 496471, 508023, 515313]",531124,0.040799999999999996,0.040799999999999996,0.0048000000000000004
3m_future6m,peak_amp_N2_corrected,p-Cresol synthesis,0.0018,-0.5164507054982547,"[3305, 29709, 31471, 66235, 99828, 154006, 166910, 222181, 255934, 447745]",531124,0.040799999999999996,0.040799999999999996,0.0108
3m_future6m,peak_latency_P1_corrected,Glutamate synthesis,0.0054,0.2623672745592277,"[761, 1506, 2829, 18680, 43660, 56589, 74148, 113498, 127929, 169265, 171877, 175040, 176534, 180562, 189264, 192998, 194314, 199778, 218806, 221866, 226064, 226639, 238077, 280877, 334199, 337620, 354654, 358720, 444075, 454567, 455017, 458972, 470512, 478498, 515539, 525832]",531124,0.061200000000000004,0.061200000000000004,0.0162
3m_future6m,peak_latency_P1_corrected,Acetate synthesis,0.0052,0.192658038230981,"[1537, 1753, 2140, 3064, 10674, 12467, 13550, 15303, 18964, 21442, 24317, 63993, 91987, 99032, 111142, 127331, 142945, 157148, 167936, 171133, 190629, 192503, 196333, 198151, 199337, 210203, 213713, 217287, 218974, 219449, 221697, 225104, 225896, 237708, 239449, 251686, 264060, 266430, 271235, 273644, 300369, 301389, 303636, 305449, 313368, 324297, 328104, 334317, 334396, 353816, 366466, 392472, 395128, 411387, 411397, 446624, 457538, 461075, 469997, 470947, 471162, 471221, 475974, 477353, 492666, 504143, 511398, 528722, 530992]",531124,0.061200000000000004,0.061200000000000004,0.0078
3m_future6m,peak_latency_N2_corrected,Tryptophan synthesis,0.0046,0.19001831950402065,"[2710, 3263, 10378, 14225, 14909, 15863, 17304, 17764, 18739, 20653, 24282, 33145, 33451, 34381, 39138, 73423, 99377, 99922, 107345, 112060, 113764, 119379, 127142, 132084, 138231, 138605, 140417, 148247, 170745, 170845, 172947, 177007, 177016, 177040, 177319, 181809, 193289, 194440, 194769, 198036, 198197, 200006, 200693, 211333, 216070, 216520, 221140, 222617, 241951, 242342, 244683, 268468, 268865, 269262, 270034, 271207, 272575, 277065, 298107, 300378, 315968, 325178, 327381, 327542, 327719, 329440, 348218, 360657, 360940, 381394, 399485, 404069, 443028, 458803, 459051, 479273, 503916, 513366, 528349]",531124,0.061200000000000004,0.061200000000000004,0.0138
3m_future6m,peak_amp_N2_corrected,Acetate synthesis,0.0052,-0.19603133440011877,"[10391, 18990, 19580, 20327, 20481, 22866, 23209, 30066, 36230, 59999, 73913, 74712, 80185, 99724, 126960, 129985, 131294, 131418, 131804, 144583, 148857, 151020, 152219, 152648, 161078, 173380, 182650, 195270, 198228, 200617, 214180, 218010, 252389, 256236, 264582, 274801, 278929, 279550, 285405, 288058, 301617, 306714, 309223, 336747, 340140, 346560, 347831, 349009, 350840, 358916, 359423, 365974, 372481, 372927, 373924, 377623, 378370, 387650, 402015, 435567, 440756, 465433, 466653, 485135, 493317, 499527, 508829, 512636, 527414]",531124,0.061200000000000004,0.061200000000000004,0.0078
3m_future6m,peak_amp_P1_corrected,Acetate synthesis,0.0068,0.18602180865296983,"[260, 5425, 6152, 21702, 25623, 30750, 44132, 51882, 58391, 62405, 63758, 64095, 66052, 78098, 90659, 97986, 100774, 126933, 148877, 149101, 151065, 156791, 161010, 169795, 171032, 176573, 178994, 186961, 194925, 203859, 211623, 223462, 294987, 308964, 314609, 315180, 315845, 319748, 329731, 331944, 332198, 332730, 335759, 350778, 354244, 363790, 373628, 418341, 425584, 434093, 441019, 442862, 442869, 447786, 451397, 454893, 463880, 475869, 475990, 476339, 482925, 487047, 495055, 499136, 504179, 519864, 521834, 529083, 530302]",531124,0.06935999999999999,0.06935999999999999,0.008159999999999999
3m_future6m,peak_amp_P1_corrected,GABA synthesis,0.0086,-0.3987298837744131,"[493, 24213, 68093, 74055, 102556, 137669, 191112, 192109, 197043, 221531, 360453, 380178, 404490, 427228]",531124,0.07974545454545455,0.07974545454545455,0.0516
3m_future6m,peak_amp_P1_corrected,p-Cresol synthesis,0.0102,0.4520810974668339,"[60586, 98895, 125525, 179036, 262946, 394332, 411061, 420705, 423523, 441162]",531124,0.0867,0.0867,0.030600000000000002
3m_future6m,peak_latency_P1_corrected,Tryptophan synthesis,0.0116,0.1671470068986263,"[2680, 3227, 10285, 14113, 14796, 15745, 17175, 17630, 18596, 20479, 24077, 32828, 33130, 34047, 38739, 72710, 98456, 98997, 106350, 111030, 112717, 118284, 125979, 130880, 136975, 137346, 139145, 146935, 169241, 169341, 171427, 175470, 175479, 175503, 175782, 180259, 191652, 192787, 193109, 196340, 196499, 198285, 198965, 209510, 214206, 214652, 219239, 220705, 239891, 240278, 242599, 266229, 266619, 267013, 267779, 268946, 270305, 274766, 295632, 297880, 313391, 322564, 324764, 324925, 325100, 326813, 345477, 357787, 358067, 378314, 396294, 400848, 439535, 455157, 455400, 475539, 500058, 509458, 524325]",531124,0.09034285714285714,0.09034285714285714,0.0186
3m_future6m,peak_amp_N2_corrected,Tryptophan synthesis,0.0124,-0.16307233254327416,"[5047, 10072, 19376, 26258, 26364, 26589, 30071, 37340, 37424, 56709, 60525, 63773, 84576, 86916, 89192, 91287, 99735, 100336, 104230, 110397, 117188, 117975, 118874, 125799, 127000, 127169, 127795, 133711, 140792, 146193, 146256, 146498, 146810, 146845, 149238, 149308, 152689, 160093, 160195, 173425, 190758, 194140, 197524, 197525, 197526, 198620, 207855, 233368, 233689, 256439, 257364, 268199, 272017, 274378, 296161, 297514, 301525, 301836, 318850, 340079, 344346, 347748, 350674, 366074, 374994, 383876, 398714, 402966, 405167, 421271, 423196, 434759, 436868, 441522, 465713, 471559, 484293, 510497, 531058]",531124,0.09034285714285714,0.09034285714285714,0.0186
3m_future6m,peak_latency_P1_corrected,Quinolinic acid degradation,0.0156,0.19796602682626657,"[2821, 8303, 9801, 12539, 12911, 43370, 62698, 75033, 93390, 113588, 113861, 125947, 126247, 139789, 168767, 168976, 171071, 179931, 181528, 190724, 192782, 196045, 197893, 212543, 214181, 222251, 243659, 249249, 251543, 258958, 265057, 266066, 266372, 268930, 273253, 282852, 311793, 323427, 332705, 335330, 345464, 346766, 363306, 394799, 395768, 442207, 465091, 470605, 476907, 508781, 508799]",531124,0.09945,0.09945,0.046799999999999994
3m_future6m,peak_latency_N2_corrected,Quinolinic acid degradation,0.0148,0.1950795287808555,"[2855, 8378, 9888, 12642, 13018, 43809, 63314, 75766, 94269, 114646, 114922, 127109, 127413, 141065, 170268, 170479, 172590, 181481, 183088, 192348, 194435, 197736, 199607, 214393, 216045, 224176, 245750, 251381, 253696, 261149, 267289, 268305, 268613, 271191, 275546, 285225, 314363, 326043, 335361, 337997, 348205, 349520, 366223, 397977, 398954, 445743, 468789, 474321, 480643, 512687, 512705]",531124,0.09945,0.09945,0.046799999999999994
3m_future6m,peak_amp_N2_corrected,GABA synthesis,0.0176,0.3661036051181219,"[717, 992, 67609, 70737, 90286, 220867, 226570, 248582, 251981, 302765, 319208, 324366, 349484, 415262]",531124,0.1056,0.1056,0.0528
3m_future6m,peak_amp_P1_corrected,Glutamate synthesis,0.0188,0.2316556871093972,"[1951, 3816, 5415, 6170, 16298, 16577, 42509, 59795, 79279, 88747, 99377, 122122, 136255, 141555, 158137, 159867, 179118, 211703, 213511, 217125, 239901, 274390, 282491, 306580, 321448, 364868, 380511, 439320, 448727, 471687, 473836, 489760, 500881, 510643, 513416, 513419]",531124,0.10653333333333334,0.10653333333333334,0.0376
3m_future6m,peak_latency_N1,Isovaleric acid synthesis,0.0204,0.2711007175686642,"[151, 11407, 50923, 86809, 123549, 186789, 228597, 231359, 287134, 288386, 307229, 314230, 346902, 354914, 373515, 391571, 395274, 439453, 446683, 451866, 453402, 480952, 500144, 522600, 524173]",531124,0.10951578947368422,0.10951578947368422,0.08639999999999999
3m_future6m,peak_latency_N1,Menaquinone synthesis,0.0464,-0.13934902737191046,"[157, 210, 2057, 2578, 3377, 3482, 3679, 7329, 12706, 20119, 27310, 50944, 60198, 61305, 65385, 76036, 78760, 122213, 123152, 133980, 136591, 142659, 142695, 144212, 149389, 158527, 162838, 182073, 184341, 185755, 190704, 192592, 197412, 205783, 227967, 230620, 231818, 236889, 256950, 261218, 275610, 281509, 287899, 292911, 316912, 322005, 325559, 331161, 333161, 338474, 341481, 354610, 355339, 366215, 393849, 394584, 399462, 410169, 410724, 424890, 428289, 434846, 437607, 437656, 443118, 443349, 446775, 458761, 467309, 474716, 478115, 482263, 486741, 490081, 490914, 508856, 513314, 521716]",531124,0.18068571428571428,0.18068571428571428,0.27
3m_future6m,peak_latency_P1_corrected,Glutamate degradation,0.0436,0.33699097812814155,"[67983, 71240, 113498, 134992, 205857, 212352, 214088, 216572, 274392, 280877, 405111, 441456, 476995]",531124,0.18068571428571428,0.18068571428571428,0.1072
3m_future6m,peak_latency_N2_corrected,17-beta-Estradiol degradation,0.0482,0.3550525029513494,"[65745, 98047, 137038, 170344, 201710, 271199, 299520, 307699, 338576, 478850, 515436]",531124,0.18068571428571428,0.18068571428571428,0.2892
3m_future6m,peak_amp_N1,p-Cresol synthesis,0.0486,-0.3665789265581401,"[49781, 189321, 207940, 234351, 256611, 297396, 310127, 336104, 369531, 425216]",531124,0.18068571428571428,0.18068571428571428,0.0972
3m_future6m,peak_amp_N1,Quinolinic acid synthesis,0.0402,-0.2735268422003977,"[2648, 11057, 18840, 25810, 70142, 86458, 116547, 161971, 163844, 171062, 173654, 215497, 338112, 345113, 428739, 429053, 487057, 487319, 506032, 527438]",531124,0.18068571428571428,0.18068571428571428,0.2412
3m_future6m,peak_amp_N1,Isovaleric acid synthesis,0.046,0.2412131824763368,"[762, 6688, 13528, 76498, 83505, 121229, 128786, 142392, 155893, 162187, 170178, 173631, 184964, 188304, 189246, 190131, 235673, 298921, 395030, 424199, 426415, 483740, 487247, 522921, 527668]",531124,0.18068571428571428,0.18068571428571428,0.08639999999999999
3m_future6m,peak_amp_N1,Butyrate synthesis,0.0398,-0.3193438539769808,"[18187, 41654, 51265, 76582, 184073, 222842, 234614, 241396, 255449, 271886, 341031, 365106, 376279, 449592]",531124,0.18068571428571428,0.18068571428571428,0.2388
3m_future6m,peak_amp_P1_corrected,Isovaleric acid synthesis,0.0462,-0.24135522755644426,"[16184, 44651, 59723, 102433, 117095, 129801, 157919, 161524, 163109, 187858, 194735, 211778, 238050, 261245, 263268, 283821, 318178, 366462, 390406, 419066, 426131, 473218, 487038, 491353, 528781]",531124,0.18068571428571428,0.18068571428571428,0.08639999999999999
3m_future6m,peak_amp_P1_corrected,Glutamate degradation,0.0496,0.32566508261419497,"[25913, 79339, 90893, 179025, 200244, 200524, 200605, 203944, 321781, 436884, 463225, 471687, 489760]",531124,0.18068571428571428,0.18068571428571428,0.1072
3m_future6m,peak_latency_N2_corrected,Glutamate degradation,0.0536,0.32526823669918054,"[68653, 71935, 114555, 136230, 207651, 214200, 215952, 218458, 276689, 283233, 408360, 444979, 480731]",531124,0.18852413793103448,0.18852413793103448,0.1072
3m_future6m,peak_latency_N1,Inositol synthesis,0.0564,-0.42191268590536546,"[44357, 197952, 227948, 235312, 360104, 438097, 440870]",531124,0.19175999999999999,0.19175999999999999,0.17250000000000001
3m_future6m,peak_latency_N2_corrected,Isovaleric acid synthesis,0.0634,-0.22917843942466476,"[821, 7106, 14315, 81009, 88408, 127966, 135846, 150041, 164214, 170824, 179111, 182704, 194550, 198030, 199030, 199954, 248488, 315662, 336464, 416649, 446946, 449271, 474789, 509335, 512976]",531124,0.19596363636363634,0.19596363636363634,0.08639999999999999
3m_future6m,peak_latency_N2_corrected,Propionate synthesis,0.0624,0.2842580981645918,"[18741, 34043, 39266, 43117, 62407, 63339, 75135, 228167, 240132, 247884, 271369, 278220, 298846, 363858, 370791, 467298]",531124,0.19596363636363634,0.19596363636363634,0.37439999999999996
3m_future6m,peak_amp_N1,Inositol synthesis,0.0622,-0.42950988200340046,"[1308, 136880, 184552, 262497, 333196, 384407, 512606]",531124,0.19596363636363634,0.19596363636363634,0.17250000000000001
